nom;poids;longueur;longevite
aigle_royal;4.8;84;25
cobra_royal;10;400;22
corail_rouge;2;40;60
dragon_de_komodo;165;310;53
elephant_d_afrique;5000;600;65
lion_d_afrique;189;210;18
loup_rouge;25;110;13
merou_golfe;90;198;48
panda_geant;97;170;22
panda_roux;5;57;10
protee_anguillard;0.02;25;69
raie_manta;1500;550;19
requin_marteau_halicorne;152;330;35
tapir;200;212;30
tigre_de_siberie;300;230;17s
tortue_verte;175;100;70
